Parameter Code;Analysis Method Code;Unit;Parameter Long Name;Method Name;Method Type;Method Number;Method Source;Method Description
Ba-Tot;ICP-AES-Xtr;mg/l;Barium - Total;Inductively Coupled Plasma (ICP) Method (Extractable/Recoverable Metals);Spectroscopy;SM 3120 B, 3030 C;APHA 2012;"Inductively Coupled Plasma, by Optical Emission Spectrometry (ICP-OES) with open vessel digestion and pre-concentration. ICP 1502
 Digestion with HNO3/HCl. Preconcentration by evaporation (factor 5 to 10)."
Ba-Tot;ICP-SFMS-CVD;mg/l;Barium - Total;Inductively-Coupled Plasma Sector Field Mass Spectrometry with Closed Vessel Digestion;Spectroscopy;SM 3125 B;APHA 2012;"Closed Vessel Digestion - The whole water sample is collected, preserved with 2% H2NO3, and stored in a HDPE or Teflon bottle. The sample is digested ""in-bottle"" in a convection oven at 60°C for 16 hours. The sample is cooled and introduced to an inductively coupled argon plasma-sector field mass spectrometer (ICP-SFMS) by pneumatic nebulization. Each respective element is measured at a specific mass to charge ratio, m/z value expressed in amu (atomic mass units), and at a specified instrument resolution. LR: Low Resolution ~ 300, MR: Mid Resolution ~ 4000 and HR : High Resolution ~ 10000"
Ba-Tot;ISO11885_1996;µg/l;Barium - Total;Determination of selected elements by inductively coupled plasma optical emission spectrometry (ICP-;Spectroscopy;ISO 1996;ISO 1996;
Ba-Tot;ISO11885_2007;µg/l;Barium - Total;Determination of selected elements by inductively coupled plasma optical emission spectrometry (ICP-;Spectroscopy;ISO 2007;ISO 2007;
Ba-Tot;ISO15586_2003;µg/l;Barium - Total;Determination of trace elements using atomic absorption spectrometry with graphite furnace;Spectroscopy;ISO 2003;ISO 2003;
Ba-Tot;VMV_1919;µg/l;Barium - Total;Total metals with in-bottle digestion and inductively coupled plasma-sector field mass spectrometer;Spectroscopy;VMV Method;VMV Method;
Ba-Tot;VMV_2459;µg/l;Barium - Total;Total recoverable metals with thermal digestion and inductively coupled plasma mass spectrometry;Spectroscopy;VMV Method;VMV Method;
Ba-Tot;VMV_2631;mg/l;Barium - Total;Total metals by inductively coupled argon plasma emission spectrometry with standard spray chamber;Spectroscopy;VMV Method;VMV Method;
Ba-Tot;VMV_2634;mg/l;Barium - Total;Total metals by inductively coupled argon plasma emission spectrometry with external nebulizer.;Spectroscopy;VMV Method;VMV Method;
Ba-Tot;VMV_2960;µg/l;Barium - Total;"Total metals in water by ""in bottle"" digestion are analyzed by ICP-MS/ICP-OES.";Spectroscopy;VMV Method;VMV Method;
Ba-Tot;VMV_3528;µg/l;Barium - Total;Total metals by CRC-ICP-MS with in-bottle digestion and discrete sampling pneumatic nebulization;Spectroscopy;VMV Method;VMV Method;
Ba-Tot;VMV_3583;µg/l;Barium - Total;Total metals by CRC-ICP-MS and discrete sampling pneumatic nebulization;Spectroscopy;VMV Method;VMV Method;
Ba-Tot;VMV_375;µg/l;Barium - Total;Total metals in water by ICP-MS;Spectroscopy;VMV Method;VMV Method;
Be-Dis;0;mg/l;Beryllium - Dissolved;;;;;Undefined Analysis Method
Be-Dis;ISO11885_1996;µg/l;Beryllium - Dissolved;Determination of selected elements by inductively coupled plasma optical emission spectrometry (ICP-;Spectroscopy;ISO 1996;ISO 1996;
Be-Dis;ISO17294-2_2004;µg/l;Beryllium - Dissolved;Application of inductively coupled plasma mass spectrometry (ICP-MS) - Part 2: Determination of sele;Spectroscopy;17294-2;ISO 2004;
Be-Dis;VMV_1920;µg/l;Beryllium - Dissolved;Dissolved metals with in-bottle digestion using inductively coupled plasma-sector field MS;Spectroscopy;VMV Method;VMV Method;
Be-Dis;VMV_2632;µg/l;Beryllium - Dissolved;Dissolved metals by inductively coupled argon plasma emission spectrometry with external nebulizer;Spectroscopy;VMV Method;VMV Method;
Be-Dis;VMV_2633;µg/l;Beryllium - Dissolved;Dissolved metals by ICP argon plasma emission spectrometry with standard spray chamber;Spectroscopy;VMV Method;VMV Method;
Be-Dis;VMV_2725;µg/l;Beryllium - Dissolved;Dissolved metals are analyzed by ICP-AES;Spectroscopy;VMV Method;VMV Method;
Be-Dis;VMV_2816;µg/l;Beryllium - Dissolved;Dissolved metals by inductively coupled argon plasma/mass spectrometer with pneumatic nebulization;Spectroscopy;VMV Method;VMV Method;
Be-Dis;VMV_3007;µg/l;Beryllium - Dissolved;"Dissolved metals in water by ""in-bottle"" digestion are analyzed by ICP-MS/ICP-OES.";Spectroscopy;VMV Method;VMV Method;
Be-Dis;VMV_3529;µg/l;Beryllium - Dissolved;Dissolved metals by CRC-ICP-MS with in-bottle digestion and discrete sampling pneumatic nebulization;Spectroscopy;VMV Method;VMV Method;
Be-Dis;VMV_3584;µg/l;Beryllium - Dissolved;Dissolved metals by CRC-ICP-MS and discrete sampling pneumatic nebulization;Spectroscopy;VMV Method;VMV Method;
Be-Ext;VMV_1917;µg/l;Beryllium - Extractable;Extractable metals with inductively coupled argon plasma-sector field mass spectrometer (ICP-SFMS);Spectroscopy;VMV Method;VMV Method;
Be-Ext;VMV_2628;µg/l;Beryllium - Extractable;Extractable metals by inductively coupled argon plasma (ICAP) emission.;Spectroscopy;VMV Method;VMV Method;
Be-Ext;VMV_2817;µg/l;Beryllium - Extractable;Extractable metals by inductively coupled argon plasma-mass spectrometry with pneumatic nebulization;Spectroscopy;VMV Method;VMV Method;
Be-Ext;VMV_2841;µg/l;Beryllium - Extractable;Extractable elements in acid preserved samples are analyzed by ICP-MS.;Spectroscopy;VMV Method;VMV Method;
Be-Ext;VMV_4070;µg/l;Beryllium - Extractable;Extractable metals by inductively coupled plasma-collision/reaction cell-mass spectrometry;Spectroscopy;VMV Method;VMV Method;
Be-Tot;0;mg/l;Beryllium - Total;;;;;Undefined Analysis Method
Be-Tot;ICP-AES-Dgs;mg/l;Beryllium - Total;Inductively Coupled Plasma (ICP) Method (Total Metals after Rigorous Digestion);Spectroscopy;SM 3120 B;APHA 2012;"Inductively Coupled Plasma, by Optical Emission Spectrometry (ICP-OES) with open vessel rigorous digestion to near dryness. ICP 1503 (See Appendix 3).
 Preconcentration by evaporation to near dryness with aqua regia ( HNO3/HCl ratio v/v: 1to 3), Residue taken up with deionized water to one-fifth original volume. Digest filtered through 0.4 um membrane."
Be-Tot;ICP-AES-Xtr;mg/l;Beryllium - Total;Inductively Coupled Plasma (ICP) Method (Extractable/Recoverable Metals);Spectroscopy;SM 3120 B, 3030 C;APHA 2012;"Inductively Coupled Plasma, by Optical Emission Spectrometry (ICP-OES): ICP 1502 (See Appendix 3).
 Digestion with HNO3/HCl. Preconcentration by evaporation (factor 5 to 10)."
Be-Tot;ICP-SFMS-CVD;mg/l;Beryllium - Total;Inductively-Coupled Plasma Sector Field Mass Spectrometry with Closed Vessel Digestion;Spectroscopy;SM 3125 B;APHA 2012;"Closed Vessel Digestion - The whole water sample is collected, preserved with 2% H2NO3, and stored in a HDPE or Teflon bottle. The sample is digested ""in-bottle"" in a convection oven at 60°C for 16 hours. The sample is cooled and introduced to an inductively coupled argon plasma-sector field mass spectrometer (ICP-SFMS) by pneumatic nebulization. Each respective element is measured at a specific mass to charge ratio, m/z value expressed in amu (atomic mass units), and at a specified instrument resolution. LR: Low Resolution ~ 300, MR: Mid Resolution ~ 4000 and HR : High Resolution ~ 10000"
Be-Tot;VMV_1919;µg/l;Beryllium - Total;Total metals with in-bottle digestion and inductively coupled plasma-sector field mass spectrometer;Spectroscopy;VMV Method;VMV Method;
Be-Tot;VMV_2459;µg/l;Beryllium - Total;Total recoverable metals with thermal digestion and inductively coupled plasma mass spectrometry;Spectroscopy;VMV Method;VMV Method;
Be-Tot;VMV_2631;µg/l;Beryllium - Total;Total metals by inductively coupled argon plasma emission spectrometry with standard spray chamber;Spectroscopy;VMV Method;VMV Method;
Be-Tot;VMV_2634;µg/l;Beryllium - Total;Total metals by inductively coupled argon plasma emission spectrometry with external nebulizer.;Spectroscopy;VMV Method;VMV Method;
Be-Tot;VMV_2960;µg/l;Beryllium - Total;"Total metals in water by ""in bottle"" digestion are analyzed by ICP-MS/ICP-OES.";Spectroscopy;VMV Method;VMV Method;
Be-Tot;VMV_3528;µg/l;Beryllium - Total;Total metals by CRC-ICP-MS with in-bottle digestion and discrete sampling pneumatic nebulization;Spectroscopy;VMV Method;VMV Method;
Be-Tot;VMV_3583;µg/l;Beryllium - Total;Total metals by CRC-ICP-MS and discrete sampling pneumatic nebulization;Spectroscopy;VMV Method;VMV Method;
Be-Tot;VMV_4007;µg/l;Beryllium - Total;Total metals by inductively coupled plasma-mass spectrometry with in-bottle digestion;Spectroscopy;VMV Method;VMV Method;Total metals in water with in bottle digestion are analyzed by inductively coupled plasma - collision/reaction cell - mass spectrometry (ICP-CRC-MS).
Bi-Dis;VMV_1920;µg/l;Bismuth - Dissolved;Dissolved metals with in-bottle digestion using inductively coupled plasma-sector field MS;Spectroscopy;VMV Method;VMV Method;
Bi-Dis;VMV_3007;µg/l;Bismuth - Dissolved;"Dissolved metals in water by ""in-bottle"" digestion are analyzed by ICP-MS/ICP-OES.";Spectroscopy;VMV Method;VMV Method;
Bi-Dis;VMV_3529;µg/l;Bismuth - Dissolved;Dissolved metals by CRC-ICP-MS with in-bottle digestion and discrete sampling pneumatic nebulization;Spectroscopy;VMV Method;VMV Method;
Bi-Dis;VMV_3584;µg/l;Bismuth - Dissolved;Dissolved metals by CRC-ICP-MS and discrete sampling pneumatic nebulization;Spectroscopy;VMV Method;VMV Method;
Bi-Ext;VMV_1917;µg/l;Bismuth - Extractable;Extractable metals with inductively coupled argon plasma-sector field mass spectrometer (ICP-SFMS);Spectroscopy;VMV Method;VMV Method;
Bi-Ext;VMV_2459;µg/l;Bismuth - Extractable;Total recoverable metals with thermal digestion and inductively coupled plasma mass spectrometry;Spectroscopy;VMV Method;VMV Method;
Bi-Tot;ICP-SFMS-CVD;mg/l;Bismuth - Total;Inductively-Coupled Plasma Sector Field Mass Spectrometry with Closed Vessel Digestion;Spectroscopy;SM 3125 B;APHA 2012;"Closed Vessel Digestion - The whole water sample is collected, preserved with 2% H2NO3, and stored in a HDPE or Teflon bottle. The sample is digested ""in-bottle"" in a convection oven at 60°C for 16 hours. The sample is cooled and introduced to an inductively coupled argon plasma-sector field mass spectrometer (ICP-SFMS) by pneumatic nebulization. Each respective element is measured at a specific mass to charge ratio, m/z value expressed in amu (atomic mass units), and at a specified instrument resolution. LR: Low Resolution ~ 300, MR: Mid Resolution ~ 4000 and HR : High Resolution ~ 10000"
Bi-Tot;VMV_1919;µg/l;Bismuth - Total;Total metals with in-bottle digestion and inductively coupled plasma-sector field mass spectrometer;Spectroscopy;VMV Method;VMV Method;
Bi-Tot;VMV_2459;µg/l;Bismuth - Total;Total recoverable metals with thermal digestion and inductively coupled plasma mass spectrometry;Spectroscopy;VMV Method;VMV Method;
Bi-Tot;VMV_3006;µg/l;Bismuth - Total;"Total metals in water by ""in-bottle"" digestion are analyzed by ICP-MS/ICP-OES.";Spectroscopy;VMV Method;VMV Method;
Bi-Tot;VMV_3528;µg/l;Bismuth - Total;Total metals by CRC-ICP-MS with in-bottle digestion and discrete sampling pneumatic nebulization;Spectroscopy;VMV Method;VMV Method;
Bi-Tot;VMV_3583;µg/l;Bismuth - Total;Total metals by CRC-ICP-MS and discrete sampling pneumatic nebulization;Spectroscopy;VMV Method;VMV Method;
Br-Dis;0;mg/l;Bromide - Dissolved;;;;;Undefined Analysis Method
Br-Dis;IC-CSC;mg/l;Bromide - Dissolved;Determination of dissolved Li+, Na+, NH4+, K+, Mn2+, Ca2+, Mg2+, Sr2+ and Ba2+ by ion chromatography;Chromatography;EN 14911;ISO 1999;A whole water sample is filtered through a 0.45 um membrane filter. The analysis is conducted by ion chromatography and determined in conjunction with other anions. An ion exchange process separates the ions of interest based on the affinity for the exchange sites of the resin bed. The sample is then pumped through the suppressor which reduces the background conductivity of the eluent to a negligible level by converting the anions in the sample to their respective acid forms . The concentrations of these separated anions are determined by measuring their respective conductivities using a conductivity detector. Anions are identified by their retention times compared to known calibration standards.
Br-Tot;0;mg/l;Bromide - Total;;;;;Undefined Analysis Method
Br-Tot;VMV_1891;mg/l;Bromide - Total;Ions in water by ion chromatography;Chromatography;VMV Method;VMV Method;
Br-Tot;VMV_1980;mg/l;Bromide - Total;Bromide in water by ion chromatography;Chromatography;VMV Method;VMV Method;
Br2-Dis;VMV_562;mg/l;Bromine - Dissolved;Determination of major ions (cations and anions) by ion chromatography;Chromatography;VMV Method;VMV Method;
CAPTAFOL;VMV_3216;ng/l;Captafol;Pesticides of the organophosphorus type, triazine, carbamate and urea: extraction with C-18;Chromatography;VMV Method;VMV Method;
CAPTAN;0;µg/l;Captan;;;;;Undefined Analysis Method
CAPTAN;VMV_3216;ng/l;Captan;Pesticides of the organophosphorus type, triazine, carbamate and urea: extraction with C-18;Chromatography;VMV Method;VMV Method;
CARBAMAZEPINE;0;µg/l;Carbamazepine;;;;;Undefined Analysis Method
CARBARYL;0;µg/l;Carbaryl;;;;;Undefined Analysis Method
CARBARYL;VMV_303;ng/l;Carbaryl;Analysis of  organophosphorus and triazine pesticides in surface waters using GC-MS/MS.;Chromatography;VMV Method;VMV Method;LEEQ Method No. Q0515E0.
CARBARYL;VMV_3216;ng/l;Carbaryl;Pesticides of the organophosphorus type, triazine, carbamate and urea: extraction with C-18;Chromatography;VMV Method;VMV Method;
CARBARYL;VMV_3461;ng/l;Carbaryl;Carbamate fungicides in water are analyzed by SPE and ESI-LC-MS/MS.;Chromatography;VMV Method;VMV Method;
CARBAZOLE;VMV_4102;ng/l;9H-carbazole;Analysis of OCs, PCBs, CBs & PAHs in 1 L water by GC-ECD and GC-MSD;Chromatography;VMV Method;VMV Method;
CARBETAMIDE;0;µg/l;Carbetamide;;;;;Undefined Analysis Method
CARBOFURAN;0;µg/l;Carbofuran;;;;;Undefined Analysis Method
CARBOFURAN;VMV_303;ng/l;Carbofuran;Analysis of  organophosphorus and triazine pesticides in surface waters using GC-MS/MS.;Chromatography;VMV Method;VMV Method;LEEQ Method No. Q0515E0.
CARBOFURAN;VMV_3216;ng/l;Carbofuran;Pesticides of the organophosphorus type, triazine, carbamate and urea: extraction with C-18;Chromatography;VMV Method;VMV Method;
CARBOFURAN;VMV_3461;ng/l;Carbofuran;Carbamate fungicides in water are analyzed by SPE and ESI-LC-MS/MS.;Chromatography;VMV Method;VMV Method;
CBZH;0;µg/l;Chlorobenzene;;;;;Undefined Analysis Method
CBZH;APAT5150_2003;µg/l;Chlorobenzene;"Chlorinated solvents (static headspace + GC-ECD; dynamic headspace + GC-ECD) APAT 5150 (2003)";Chromatography;APAT 2003;APAT 2003;
CBZH;APAT5450_2003;µg/l;Chlorobenzene;"Chlorinated solvents (static headspace + GC-ECD; dynamic headspace + GC-ECD) APAT 5450 (2003)";Chromatography;APAT 2003;APAT 2003;
CBZH;GS-MS;µg/l;Chlorobenzene;Gas Chromatography with Mass Spectrometry Detection;Chromatography;;;
CBZH;P-T-GC-MS;µg/l;Chlorobenzene;Purge-and-Trap Gas Chromatography/Mass Spectrometry;Chromatography;JIS K 0125 5.1;JSA 1998;
CCl4;0;µg/l;Tetrachloromethane;;;;;Undefined Analysis Method
CCl4;APAT5150_2003;µg/l;Tetrachloromethane;"Chlorinated solvents (static headspace + GC-ECD; dynamic headspace + GC-ECD) APAT 5150 (2003)";Chromatography;APAT 2003;APAT 2003;
CCl4;APAT5450_2003;µg/l;Tetrachloromethane;"Chlorinated solvents (static headspace + GC-ECD; dynamic headspace + GC-ECD) APAT 5450 (2003)";Chromatography;APAT 2003;APAT 2003;
CCl4;EPA8260B;µg/l;Tetrachloromethane;Volatile Organic Compounds by Gas Chromatography/Mass Spectrometry (GC/MS);Chromatography;8260B;EPA 1996;
CCl4;GS-MS;µg/l;Tetrachloromethane;Gas Chromatography with Mass Spectrometry Detection;Chromatography;;;
CCl4;ISO10301_1997;µg/l;Tetrachloromethane;Determination of highly volatile halogenated hydrocarbons in water - Gas-chromatographic methods;Chromatography;ISO 1997;ISO 1997;
CCl4;ISO15680_2003;µg/l;Tetrachloromethane;Gas-chromatographic determination of a number of monocyclic aromatic hydrocarbons, naphthalene and s;Chromatography;ISO 2003;ISO 2003;
CCl4;MI_C_04_005REV0_2000;µg/l;Tetrachloromethane;analisi - MI/C/04/005 REV 0: 2000 - ORGANOALOGENATI;;;;
